Frequency,J Value
0,0.010864777604431282
1,0.012860718926158338
2,0.016072861294911735
3,0.014635363879322797
4,0.018085452145651694
5,0.015922062368928822
6,0.013080481120877663
7,0.014257170976448345
8,0.012704247447504268
9,0.012690700287823079
10,0.022570321585546733
11,0.002109948801914379
12,0.03177827370045038
13,0.06524928947535101
14,7.967362398551079e-06
15,0.19878507632337264
16,0.07567455480241607
17,0.03273127296491447
18,0.2233498252433084
19,0.012317671314171197
20,0.9121624571621351
21,0.20066776262192562
22,0.08474055164427756
23,0.15529767161645977
24,0.009988867831596238
25,0.0033142796651464577
26,0.09179439326696866
27,0.0014084672740922127
28,0.1826414231210512
29,0.11483370869745976
30,0.06615962779119731
31,0.061950022637604255
32,5.067457065499292e-06
33,0.011224324712880204
34,0.06540185962450402
35,0.02275306535775269
36,0.026164101838451942
37,0.006441126849490375
38,0.004549516738379097
39,0.004859601133377893
40,0.05746207668192473
41,0.0005657575780633108
42,0.09276029370122606
43,0.06832737111595068
44,0.010521936192002616
45,0.002198679808281758
46,0.031810736848783834
47,0.24574778000988265
48,0.03405529613727056
49,0.05421595475984894
50,0.01374343698393871
51,2.9159487376232566e-05
52,7.035343110363073e-05
53,0.04188620300368986
54,6.814603553257667e-05
55,0.08323123727054124
56,0.1477567377789351
57,0.26744354403799875
58,0.06029567231626432
59,0.001274362909514631
60,0.019929562416128973
61,0.07112371863839019
62,0.017688763087602196
63,0.003722845768641967
64,0.05561022896473132
65,0.07923695983310636
66,0.1841179707263174
67,0.0234757825890732
68,0.043207772617559814
69,0.07626779737191862
70,0.18876132797037345
71,0.02738090949104824
72,0.030567017213492864
73,0.025617901481574137
74,0.15910857497660016
75,0.03387127330157109
76,0.2294665916147226
77,0.004255469036032451
78,0.0083692608728452
79,0.0003142051368927644
80,0.02187229850100717
81,0.08852141927180805
82,0.1938477384356078
83,0.013114030825546817
84,0.0018688208949714756
85,0.02145717056216159
86,0.008070573390515642
87,0.059536509735278076
88,0.0897396942676685
89,0.04974588226320967
90,0.00583149362749768
91,0.10294654619482123
92,0.002622124403954245
93,0.05545172288308287
94,0.018444853951822895
95,0.018498571000817098
96,0.010269234271387364
97,0.0020924544635474605
98,0.005881376167387948
99,0.008444725434111485
100,0.01888068071891408
101,0.010630692320142257
102,0.39448737559363306
103,0.009046987065804512
104,0.09024473470131887
105,0.0008213107021713798
106,0.003816493770565798
107,0.010695168321258115
