Frequency,J Value
0,0.024713148664832107
1,0.028544148604817087
2,0.03658217218052164
3,0.027460431727214366
4,0.024594855418037926
5,0.027674996871840263
6,0.028289739542208703
7,0.02295926209346211
8,0.018930811220218766
9,0.013940851186366635
10,0.01105317907936468
11,0.011533633493504718
12,0.00010291648419689296
13,0.01355198982684084
14,0.019357308318780502
15,0.006474238646992386
16,0.003068923174616869
17,0.0608019393504154
18,0.00032049652445563146
19,0.09151352988635049
20,0.012804053910542573
21,0.005313509791311473
22,0.003828722358894868
23,0.0023789034686850347
24,0.007499020626948108
25,0.1234102321094177
26,2.4083983253019423e-05
27,0.003243056663454133
28,0.08889975666988721
29,0.03780687037862196
30,0.025368788100584412
31,0.24758727343783582
32,0.11016757356148978
33,0.028924903771893815
34,0.10723618556480517
35,0.007317751783640999
36,0.03213467346105879
37,0.011936423168653901
38,0.00702480779235253
39,0.04843351552885675
40,0.008328314250627687
41,3.9427395599921145e-10
42,0.10571279699269855
43,0.02945136940713145
44,0.056454776641170164
45,0.5564675618378797
46,0.09401122968321736
47,0.03161608674529709
48,0.03722321288774454
49,0.009134591431643585
50,0.014882778777480128
51,0.004761672818575299
52,0.05214020117458829
53,0.04362522433378018
54,0.04826069560741962
55,0.027144816319838425
56,0.038277491654809405
57,0.07331872844609373
58,0.04705782422175465
59,0.07843707187713642
60,0.026708282914421032
61,0.00023816464298020198
62,0.0015526225022493856
63,0.06282104513310552
64,0.015303144926967925
65,0.00874144922543222
66,0.027233706968213332
67,0.11281589217369566
68,0.06304546992822917
69,0.1313675104162168
70,0.04905395243032238
71,0.0917686165115883
72,0.09835652698583844
73,0.00581631432151452
74,8.467798688445637e-05
75,0.18044852608677284
76,0.0011910609154167254
77,0.016879976468453115
78,0.01690339118439953
79,0.028768692896576274
80,0.11296930597165551
81,0.11818516850611945
82,0.07977632963729389
83,0.042147280086979454
84,0.0009018958817473523
85,0.0006335512524252127
86,0.009296629931624913
87,0.007741361215239286
88,0.0271589268043013
89,0.013508833740508097
90,0.051037874463216844
91,0.09900685726169696
92,0.0008009418053648186
93,0.0001611303414163126
94,0.00534558378309245
95,0.08246921262549557
96,0.032987972755412064
97,0.01730670546852247
98,0.04201728090663673
99,0.004749233339068685
100,0.03298705877382938
101,0.0029535101610956038
102,0.0002592283929781024
103,0.00552412232096031
104,0.03873779948846422
105,0.000733411103771768
106,7.057118634402039e-05
107,0.003298666385556014
108,0.007641471582907179
109,0.025583909998355754
110,0.172418469062559
111,0.011119211970215308
112,0.061538615439149284
113,0.009999955890697791
114,0.006519055542206468
115,0.008552002570947813
116,0.03535676352034984
117,0.08572285276426025
118,0.14301901100825448
119,0.08264382659585733
120,0.020749940589369704
121,0.0028491100908319958
122,0.0562021189024466
123,0.019530606416237665
124,0.00022587548719913135
125,0.4946067358402646
126,0.02066234449629574
127,0.011721700551700088
128,0.019403439176121386
129,0.017629256931764085
130,0.012368715433716926
131,0.07608716227343727
132,0.013041405563953517
133,0.004408209669760145
134,0.06792180757094078
135,0.05171222365398275
136,0.0007957270799424037
137,0.051865625128784135
138,0.07219587203347029
139,0.00234358627732703
140,0.023105230643984724
141,0.016364927565661096
142,0.013823885033052449
143,0.14888211984496208
144,0.0015575040107101204
145,0.0005905944841413768
146,0.01697445413952588
147,0.07270579351199852
148,0.12406193513654255
149,0.04570942730430337
150,0.0056905742122535
151,0.018499058127753244
152,0.12516616488647478
153,0.04354541279418665
154,0.014943119702887966
155,0.002675533518666778
156,0.00013507236368622404
157,0.010900107290524867
158,0.0028874819594885636
159,0.00032376238382641017
160,0.0012452931168838936
161,0.10613553431082418
162,0.0015346776962190847
163,0.15535179338375918
164,0.0012621686227547062
165,0.0003210501975347464
166,0.03439902997891912
167,0.009393661294253512
168,0.005391520562286678
169,0.021183635610920827
170,0.0027065684522251084
171,0.03308414978756743
172,0.00012974872354815854
173,0.007145606100326322
174,0.02048345567136415
175,0.02485001659758621
176,0.1268938452917423
177,0.06962738030740043
178,0.09889663641115419
179,0.18689708357699403
180,0.0466768820220321
181,1.4111863340075315e-06
182,0.001115677078786795
183,0.0021575561915298607
184,0.13564039564497432
185,0.0490255211591736
186,0.0663826673205136
187,0.0005453656614843691
188,0.011240464420398595
189,0.0019325791250432963
190,3.859286801406597e-05
