Frequency,J Value
0,0.0897741595065278
1,0.08110984762468576
2,0.09219572374844488
3,0.09087260002624935
4,0.07340054859038998
5,0.06888703466612206
6,0.07287950249310629
7,0.05413722495188598
8,0.05021443347771874
9,0.04866443170178657
10,0.029303859162472985
11,0.03584815190257814
12,0.0022025118125465065
13,0.0062843158751761915
14,0.034444472447086275
15,0.004262020629982412
16,0.0006836610728562323
17,0.025126094961648873
18,0.015423234180501915
19,0.15397669897761532
20,0.0020289524705772778
21,0.00030697548559050424
22,9.613934559612317e-05
23,5.034642627803839e-05
24,0.022487066548277146
25,0.0796974445056171
26,0.002207075521459038
27,0.0003938731294019375
28,0.01528975086366273
29,0.007028832704001651
30,0.004186257000566639
31,0.18418930856063878
32,0.07942182362295831
33,0.013506948974288932
34,0.06832184688530338
35,3.9747110641851296e-05
36,0.0023502522375724376
37,0.029757770654565207
38,0.016334923883801117
39,0.009179432996027652
40,1.9354665325802325e-06
41,0.005187974867152957
42,0.1333628235321028
43,0.007465945861285358
44,0.0424157247533463
45,0.5085429998844537
46,0.048779979530131884
47,0.00917274883741059
48,0.023643458006083237
49,8.771258290986306e-11
50,0.040558229262428344
51,3.905071157709004e-05
52,0.033761858913037936
53,0.019328112820025233
54,0.014138813757566333
55,0.008800410435388286
56,0.015180658261518227
57,0.04489757616617742
58,0.03138322177802548
59,0.03591968516737274
60,0.01031829469333327
61,0.0023063817998207345
62,0.020088159800506798
63,0.02915707452526088
64,0.03641633712076576
65,0.0003690565042847122
66,0.010944002630000628
67,0.048498658748936614
68,0.01104801438570064
69,0.0753384116178492
70,0.03117687966618285
71,0.05425697662164284
72,0.1507937027332255
73,0.0003006948221361803
74,0.0032854190391958696
75,0.12040224216538709
76,0.0073543395119218535
77,0.049407128830716456
78,0.03514528603566387
79,0.004160539961535483
80,0.06821887230152707
81,0.1669303291728917
82,0.12269479663697502
83,0.013875653180808314
84,0.011850991258911873
85,0.001172658442177903
86,0.03372355390519787
87,0.025113299042591124
88,0.06413238669760996
89,0.04278966206841939
90,0.09622372330422116
91,0.04770472968163054
92,0.006281998873486468
93,0.00046351414330982955
94,0.00036735535796622473
95,0.027731702599129448
96,0.0085508757380574
97,0.0007631621153586779
98,0.043717840563006684
99,0.0012671436573453037
100,0.0014530024193616699
101,0.00047096513080628995
102,0.003501690564350544
103,9.337799659990507e-07
104,0.02072652898650382
105,0.0013603006437700252
106,0.011859506311827155
107,0.0327570396504939
108,0.0017901220836697282
109,0.09878415936470962
110,0.1289301095978088
111,0.0005036811032094466
112,0.0632143733521691
113,0.02853981604144956
114,0.010778181236721918
115,0.04282036814331423
116,0.007671280846716715
117,0.14594702956955638
118,0.6728556415984748
119,0.10990101358275414
120,0.04774561675024449
121,0.03447993907377595
122,0.024088893438760264
123,0.008915753567998966
124,0.004451186439047067
125,0.0714986380411483
126,0.005179859440657742
127,0.035833404024169055
128,0.03407162356653366
129,0.0097464634203447
130,0.0020984417587171203
131,0.045485892374040535
132,5.201752669364436e-06
133,0.0004411988606149365
134,0.03288789629113176
135,0.015941561764697222
136,0.011561797801758316
137,0.08223997825310547
138,0.12419549253346478
139,0.02903979522565824
140,0.0817599331590355
141,0.0008990746712992996
142,0.0516194512997647
143,0.15548246342870845
144,0.005397826716252637
145,0.04028116150585053
146,0.0014358634778632005
147,0.2069469380001655
148,0.044737276111644984
149,0.06522975296352959
150,1.8150457884627872e-05
151,0.006519473583026395
152,0.15660112891865838
153,0.0537366020819423
154,0.044671417145650344
155,3.121979773294477e-05
156,0.01933611442056138
157,0.04222586500892528
158,0.00016841571272198025
159,0.0008353746403426368
160,0.013251256202563177
161,0.07084367299244693
162,0.0049699186873717535
163,0.3971863362327855
164,0.02344926903838311
165,0.03031653084096254
166,0.10172949813542526
167,0.0368219186465898
